TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612737,Atlanta,Hawks,2022-23,82,41,41,0.5,8,2,2,4,15.0,5,N/A,3658,7574,0.483,882,2505,0.352,1513,1850,0.818,920,2719,3639,2049,1541,580,1060,401,9711,3
1610612738,Boston,Celtics,2022-23,82,57,25,0.695,2,1,11,9,15.0,5,N/A,3460,7278,0.475,1315,3492,0.377,1436,1769,0.812,796,2921,3717,2186,1542,521,1095,430,9671,4
1610612739,Cleveland,Cavaliers,2022-23,82,51,31,0.622,4,2,1,4,15.0,5,N/A,3408,6984,0.488,950,2589,0.367,1439,1844,0.78,795,2574,3369,2045,1560,586,1094,384,9205,25
1610612740,New Orleans,Pelicans,2022-23,82,42,40,0.512,9,2,0,0,15.0,5,N/A,3447,7180,0.48,899,2468,0.364,1585,2000,0.793,866,2717,3583,2122,1678,681,1196,337,9378,15
1610612741,Chicago,Bulls,2022-23,82,40,42,0.488,10,3,0,0,15.0,5,N/A,3488,7116,0.49,854,2367,0.361,1446,1788,0.809,694,2779,3473,2006,1551,644,1097,371,9276,22
1610612742,Dallas,Mavericks,2022-23,82,38,44,0.463,11,3,0,0,15.0,5,N/A,3283,6909,0.475,1246,3362,0.371,1554,2057,0.755,625,2556,3181,1880,1697,514,1002,304,9366,16
1610612743,Denver,Nuggets,2022-23,82,53,29,0.646,1,1,16,4,15.0,5,LEAGUE CHAMPION,3574,7088,0.504,969,2559,0.379,1378,1834,0.751,828,2699,3527,2368,1525,618,1192,368,9495,12
1610612744,Golden State,Warriors,2022-23,82,44,38,0.537,6,4,6,7,15.0,5,N/A,3538,7393,0.479,1363,3540,0.385,1314,1655,0.794,864,2793,3657,2446,1757,588,1336,323,9753,2
1610612745,Houston,Rockets,2022-23,82,22,60,0.268,14,4,0,0,15.0,5,N/A,3329,7287,0.457,856,2619,0.327,1567,2078,0.754,1100,2695,3795,1835,1679,600,1332,374,9081,28
1610612746,LA,Clippers,2022-23,82,44,38,0.537,5,3,1,4,15.0,5,N/A,3370,7059,0.477,1041,2735,0.381,1533,1962,0.781,803,2742,3545,1959,1598,580,1167,364,9314,18
