FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,GAMES_PLAYED_FLAG,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
Precious,Achiuwa,Precious Achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,6-8,225,3,Forward,Active,1610612761,Raptors,2020,2023,N,Y,1,20,N
Steven,Adams,Steven Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,6-11,265,10,Center,Active,1610612763,Grizzlies,2013,2023,N,Y,1,12,N
Bam,Adebayo,Bam Adebayo,1997-07-18T00:00:00,Kentucky,USA,6-9,255,6,Center-Forward,Active,1610612748,Heat,2017,2023,N,Y,1,14,N
Ochai,Agbaji,Ochai Agbaji,2000-04-20T00:00:00,Kansas,USA,6-5,215,1,Guard,Active,1610612762,Jazz,2022,2023,Y,Y,1,14,N
Santi,Aldama,Santi Aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,7-0,215,2,Forward-Center,Active,1610612763,Grizzlies,2021,2023,Y,Y,1,30,N
Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1998-09-02T00:00:00,Virginia Tech,Canada,6-5,205,4,Guard,Active,1610612750,Timberwolves,2019,2023,Y,Y,1,17,N
Grayson,Allen,Grayson Allen,1995-10-08T00:00:00,Duke,USA,6-4,198,5,Guard,Active,1610612756,Suns,2018,2023,Y,Y,1,21,N
Jarrett,Allen,Jarrett Allen,1998-04-21T00:00:00,Texas,USA,6-9,243,6,Center,Active,1610612739,Cavaliers,2017,2023,N,Y,1,22,N
Jose,Alvarado,Jose Alvarado,1998-04-12T00:00:00,Georgia Tech,USA,6-0,179,2,Guard,Active,1610612740,Pelicans,2021,2023,Y,Y,Undrafted,Undrafted,N
Kyle,Anderson,Kyle Anderson,1993-09-20T00:00:00,UCLA,USA,6-9,230,9,Forward-Guard,Active,1610612750,Timberwolves,2014,2023,Y,Y,1,30,N
Giannis,Antetokounmpo,Giannis Antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,7-0,243,10,Forward,Active,1610612749,Bucks,2013,2023,N,Y,1,15,Y
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,6-7,219,5,Forward,Active,1610612749,Bucks,2015,2023,Y,Y,2,51,N
Cole,Anthony,Cole Anthony,2000-05-15T00:00:00,North Carolina,USA,6-3,185,3,Guard,Active,1610612753,Magic,2020,2023,N,Y,1,15,N
O.G.,Anunoby,O.G. Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,6-7,232,6,Forward,Active,1610612761,Raptors,2017,2023,N,Y,1,23,N
Ryan,Arcidiacono,Ryan Arcidiacono,1994-03-26T00:00:00,Villanova,USA,6-3,195,6,Guard,Active,1610612752,Knicks,2017,2023,Y,Y,Undrafted,Undrafted,N
Deni,Avdija,Deni Avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,6-9,210,3,Forward,Active,1610612764,Wizards,2020,2023,N,Y,1,9,N
Deandre,Ayton,Deandre Ayton,1998-07-23T00:00:00,Arizona,Bahamas,7-0,250,5,Center,Active,1610612757,Trail Blazers,2018,2023,N,Y,1,1,N
Udoka,Azubuike,Udoka Azubuike,1999-09-17T00:00:00,Kansas,Nigeria,6-11,270,3,Center-Forward,Active,1610612756,Suns,2020,2023,Y,Y,1,27,N
Ibou,Badji,Ibou Badji,2002-10-13T00:00:00,FC Barcelona,Senegal,7-1,240,0,Center,Active,1610612757,Trail Blazers,2022,2023,Y,N,Undrafted,Undrafted,N
Marvin,Bagley III,Marvin Bagley III,1999-03-14T00:00:00,Duke,USA,6-10,235,5,Forward,Active,1610612765,Pistons,2018,2023,N,Y,1,2,N
Patrick,Baldwin,Patrick Baldwin,2002-11-18T00:00:00,Wisconsin-Milwaukee,USA,6-9,220,1,Forward,Active,1610612764,Wizards,2022,2023,Y,Y,1,28,N
LaMelo,Ball,LaMelo Ball,2001-08-22T00:00:00,Illawarra,USA,6-7,180,3,Guard,Active,1610612766,Hornets,2020,2023,N,Y,1,3,N
Lonzo,Ball,Lonzo Ball,1997-10-27T00:00:00,UCLA,USA,6-6,190,5,Guard,Active,1610612741,Bulls,2017,2023,N,Y,1,2,N
Mo,Bamba,Mo Bamba,1998-05-12T00:00:00,Texas,USA,7-0,231,5,Center,Active,1610612755,76ers,2018,2023,N,Y,1,6,N
Paolo,Banchero,Paolo Banchero,2002-11-12T00:00:00,Duke,USA,6-10,250,1,Forward,Active,1610612753,Magic,2022,2023,N,Y,1,1,N
Desmond,Bane,Desmond Bane,1998-06-25T00:00:00,TCU,USA,6-5,215,3,Guard,Active,1610612763,Grizzlies,2020,2023,N,Y,1,30,N
Dalano,Banton,Dalano Banton,1999-11-07T00:00:00,Nebraska,Canada,6-7,204,2,Forward,Active,1610612738,Celtics,2021,2023,Y,Y,2,46,N
